start	end	text
0.0	20.48	 Welcome to Cisco Live. I hope you have a good time. Now let's make sure we're not interrupting
20.48	26.0	 that flow. And having said that, I also realize I'm probably the only thing standing between
26.0	31.52	 you and a decent dinner with either customers, partners, or friends. So let's try to make this
31.52	36.480000000000004	 quick. Let's try to keep this interactive. Even though we have a bigger audience, if you have
36.480000000000004	41.04	 questions, please feel free to raise them. Nevertheless, there is also time after the
41.04	46.32	 session, so I'll stay here. So if you have certain questions and you want to discuss them one to one,
46.32	55.92	 I'm happy to do that as well. Having said that, as you've probably heard a million times
56.4	60.160000000000004	 for each of those sessions, there is a dedicated Webex space that you can join.
60.72	65.28	 And if there is a question that arises sometime later, could be a week, could be a month,
65.28	70.72	 but could even be a year, feel free to use that Webex space and raise that question. I'll continue
70.72	77.6	 monitoring that space. So be aware. It says this room or this space is only being monitored until
77.6	84.56	 the 23rd of February. Let me correct that. That's certainly not true. I'll keep monitoring that
84.56	91.84	 space if you have questions. Now, first of all, let me introduce myself. So I'm Daniel Schmidt.
91.84	97.60000000000001	 I'm a principal architect within the CX or Customer Experience Organization, or more
97.60000000000001	103.92	 specifically, professional services. Now, what this means is that I work with customers and partners
103.92	109.92	 like you on a daily basis, trying to support them with implementing DC network solutions,
109.92	116.96000000000001	 like ACI, for example. Now, having said that, I'm likely facing similar issues as you are.
118.0	124.4	 So to some extent, we are in the same boat. We are fighting and we are trying to make our own
124.4	130.4	 delivery, deploying ACI and other solutions as efficient as possible. And that's also how it
130.4	136.64	 came to this solution and why we developed this in the first place. So this session is about the
136.64	143.11999999999998	 solution called Nexus S Code. As the name somehow implies, this is closely related to
143.11999999999998	148.32	 infrastructure as code. And I'm pretty sure everyone has heard about infrastructure as code
148.32	153.44	 already. But infrastructure as code can mean different things to different people, right?
153.44	158.0	 So let's start and get us all on the same page in terms of what infrastructure as code is,
158.56	164.48	 or what is relevant in the context of Nexus S Code. Now, we'll look at Nexus S Code, what it is,
164.48	169.35999999999999	 how you can use it, how you can consume it, and what it hopefully brings to the table in terms of
169.35999999999999	177.6	 benefits and advantages. But we'll look beyond just provisioning and managing configurations in ACI.
178.56	183.92	 We're looking at what else is required to fully support a change process and what else can be
183.92	190.56	 automated along that process. So we are looking at things like pre-change validation, things like
190.56	193.92000000000002	 how can we possibly also automate the testing part?
196.0	201.36	 And at the end, we look at how can we leverage CI-CD, which is like a common technology,
201.36	207.2	 a common framework known from software development. How can we take that and use it for our own
207.2	214.08	 purposes, right? And at the very end, we'll look at something what we call services as code, which
214.08	220.72000000000003	 is really like a product or a service that we as Cisco as a vendor offer to you, which goes beyond
220.72000000000003	227.04000000000002	 just the technical capabilities and tools that we provide. But this is more about what can we do to
227.04000000000002	232.8	 support you in terms of enablement, in terms of offering support for the solution, which could be
232.8	237.92000000000002	 technical support in terms of 24-7 support, et cetera, right? So we'll look at that as well.
237.92	243.2	 Now, just to give you a brief heads up, and that's probably a good example, on a lot of those slides,
243.2	247.44	 you will see a lot of text. Now, there is not necessarily a need for you to read through all
247.44	252.79999999999998	 the text. The reason I'm including the text is because if you go back to the slides later on,
252.79999999999998	259.76	 or maybe someone looks at the slides that was not part of the session, to make it or to provide a
259.76	264.96	 bit more context and hopefully make it useful as well. So, let's look at the slides.
264.96	271.76	 So, let's look at the slides. How many of you have heard infrastructure as code and have played
271.76	280.0	 with it in one way or another? So, I would say the majority probably at least at some point got in
280.0	286.08	 touch with infrastructure as code. Now, as said, and that's also what is being depicted here,
286.08	290.71999999999997	 there are different definitions of what infrastructure as code is. So, instead of reading
290.72	295.92	 out loud those, let me try to provide my own description. And to be very honest, the name itself
295.92	305.6	 as code can be intimidating, right? It can imply something like you must be a software developer
305.6	310.88000000000005	 to fully embrace and understand infrastructure as code. And let me make this clear, that's certainly
310.88000000000005	316.56	 not the case, right? So, even though it says infrastructure as code, what infrastructure as code
316.56	323.68	 is really about is essentially leveraging tools and processes that are well established in the
323.68	328.4	 software development world, right? But basically use them for our own purposes, which in our case
328.4	335.2	 is maintaining networks or maintaining network infrastructure. And the way we approach this
335.2	340.96	 is that we essentially maintain a description of how we want the infrastructure to look like,
340.96	346.96	 and then we are leveraging automation that ensures that this description of how the
346.96	351.35999999999996	 infrastructure should look like is eventually also reflected in the actual environment or
351.35999999999996	354.32	 actual infrastructure, right? So, that's what infrastructure as code is about.
357.76	363.52	 So, be aware infrastructure as code is not a single tool, it's not an application,
363.52	370.32	 it's rather a methodology or a process on how we can use it. So, infrastructure as code is
370.8	377.52	 on how we can manage infrastructure. Now, let's go one step further, or zoom out a bit, right?
378.8	386.0	 We as Cisco, we as a vendor, how do we provide infrastructure as code tooling to you?
387.44	391.28	 Now, as you're probably aware, there are different tools out there when it comes to infrastructure as
391.28	396.64	 code. There are tools like Terraform, there are other tools like Ansible, you might even
396.64	402.96	 heard of tools like Pulumi and others. Now, all of them kind of serve a similar purpose,
405.03999999999996	412.15999999999997	 and we are not necessarily religious about tools. So, what I mean by that is if you prefer to use
412.15999999999997	418.4	 Ansible, we're perfectly fine with that. If you, for whatever reason, are more familiar with Terraform,
418.4	422.08	 or maybe you're using Terraform already to provision public cloud infrastructure,
422.96	429.76	 then please use Terraform, right? So, we provide integrations for both and for all the different
429.76	434.64	 products. I mean, I'm specifically talking about DC networking here, but we do provide
434.64	444.15999999999997	 integrations for Terraform and Ansible accordingly. Now, on top of those, there's typically a concept
444.15999999999997	449.59999999999997	 where you can abstract certain functionality into a single unit that makes it easier to consume.
450.56	457.12	 So, in Terraform, we call this a Terraform module. The equivalent in Ansible would be an Ansible role.
458.32000000000005	464.40000000000003	 So, for example, for Terraform, we provide modules that allow you to configure specific parts of the
464.40000000000003	470.40000000000003	 ECI configuration. So, think of an L3 out in ECI as an example, right? So, instead of having to
470.40000000000003	477.28000000000003	 configure all the individual objects and resources individually, you can use that single module that
477.35999999999996	484.71999999999997	 hopefully simplifies the consumption of those. Now, once you have those modules and Ansible roles
484.71999999999997	491.03999999999996	 in place, what you need to provide typically in case of Terraform is a Terraform configuration,
492.79999999999995	497.91999999999996	 which is typically written in a language called HCL, or the equivalent on the Ansible side would
497.91999999999996	502.96	 be an Ansible playbook, which is typically or is always being written in YAML, right?
502.96	508.15999999999997	 And then, on top of that, you need to provide some data, right? You need to provide data in terms of
508.15999999999997	512.56	 what do you actually want to be configured? How many tenants do you want to be configured? How
512.56	518.24	 many EPG's? How many bridge domains? How do you want to name them, etc., etc.? Now, where does
518.24	527.36	 Nexus S code fit in this diagram? It's actually everything that you see encircled by this green
527.36	533.6	 line, right? So, what we are trying to do with Nexus S code is essentially make infrastructure
533.6	540.48	 as code as simple and as easy to consume as possible, right? Because we realize, and as we've
540.48	545.2	 seen here, there's a bunch of people that have heard and have maybe played with infrastructure as
545.2	552.24	 code, but nevertheless, there is a considerable barrier of entry in terms of truly adopting this,
553.2	558.4	 and not only in a lab or kind of development environment, but fully embracing this in a
558.4	563.76	 production environment, right? So, what we want to achieve with Nexus S code is really make this
563.76	570.08	 easier, lower the barrier of entry, and really make it as simple to use as possible, while still
570.08	574.64	 providing all the benefits that infrastructure as code in general brings to the table, right?
575.04	582.8	 Okay. Nexus S code itself relies on Terraform. So, we use Terraform to provision the infrastructure,
582.8	591.04	 in our case, ACI. Now, be aware, this session is not about teaching you Terraform. We use Terraform
591.04	596.48	 as a tool underneath, but we also realize that Terraform can be quite complex. So, for those of
596.48	602.4	 you who have played with Terraform already, when it comes to complex configuration, it's important
602.8	607.36	 when it comes to complex configuration, it's not a simple thing to use.
609.6	616.0	 So, Nexus S code attempts to abstract this away from you, not, you don't necessarily need to
616.0	620.9599999999999	 become a Terraform expert to use Nexus S code. We want to make this easier to use for you.
622.0799999999999	625.84	 Now, at the same time, we need to understand what Terraform does and how it works, right?
625.84	630.0	 So, what you see on the right-hand side is a typical Terraform configuration,
630.0	635.92	 which shows you how you can configure a simple VLAN pool with a certain set of,
635.92	642.16	 or a single VLAN range within that pool, right? And this very much looks like code, right? If you
642.16	648.4	 look at this, this can be, looks a bit similar to code. There's certain logic in it, not maybe in
648.4	653.68	 this example, but if it becomes more complex, then you would make, then you would need to make use of
653.68	659.5999999999999	 loops and similar constructs, right? Now, going back to what Terraform does,
661.1999999999999	667.04	 Terraform is really a tool to provision infrastructure, but not only as a one-off
667.04	671.8399999999999	 thing to just push configuration, push and forget. It's more than that because it's a tool that
671.8399999999999	678.56	 allows you to continuously maintain a configuration. Now, what this means is Terraform actually keeps
678.56	683.92	 track of the state of the infrastructure, so it knows exactly how it left the infrastructure the
683.92	690.8	 last time Terraform was executed and is able to detect configuration drift, meaning if there's
690.8	695.92	 an out-of-band change that happens outside of Terraform, so someone maybe logs into the UI,
695.92	700.56	 changes something that was initially configured through Terraform, Terraform is able to detect
700.56	707.04	 that configuration drift and is able to eventually reconcile that configuration drift if necessary.
708.56	714.64	 Now, another thing that is also important, there are two distinct operations in Terraform.
714.64	720.16	 One is called the Terraform plan operation and think of a Terraform plan as a dry run,
721.28	727.4399999999999	 so it doesn't yet apply any changes to your actual infrastructure, so what it does, it actually
727.4399999999999	733.76	 simulates what changes would need to be applied, what is the list of operations that I would need
733.76	739.2	 to go through in order to apply the desired configuration to the infrastructure.
741.12	745.92	 And the second one is the Terraform apply operation, so this is where we now take that
745.92	750.56	 previously calculated list of operations and actually apply to the infrastructure,
750.56	754.8	 but these are two distinct operations, so that means you can do one without the other.
754.8	759.76	 So, coming back to Nexus code, so as said, Nexus code is really about making infrastructure code
759.76	764.4799999999999	 as simple to consume as possible, so there are certain things or certain data that obviously
764.4799999999999	770.0	 you need to provide, right? We don't know how many tenants, how many bridge domains,
770.0	773.12	 how many VRFs you want to configure, so that's data that you need to provide,
773.8399999999999	778.64	 but you shouldn't be the one that should deal with writing and configuring,
778.72	783.4399999999999	 so that's data that you need to provide, but you shouldn't be the one that should
783.4399999999999	788.96	 deal with writing the actual code in order to implement that, so what we want to do is
789.84	795.28	 you provide the data, we provide all the logic, all the implementation that is necessary to
796.0	801.76	 eventually deploy the configuration according to your description, and it's something simple,
801.76	807.28	 as you can see on the right-hand side, right? The important part is, and that's where we come back
807.28	814.64	 to the as code aspect, as code essentially means we want to maintain this as something that is text
814.64	822.24	 based, that is human readable, because in the end it's us, the human, that is actually maintaining
822.24	827.8399999999999	 and modifying that configuration, but at the same time it should also be machine readable,
827.8399999999999	832.8	 which essentially means it should follow a certain structure, it should be structured data, right?
837.28	843.28	 Now, let's take a look at how this is different compared to using Terraform natively. Again,
843.28	848.8	 on the left-hand side, this is how you would configure a tenant with two VRFs using native
848.8	853.8399999999999	 Terraform, and this is a bit more complex than what we've seen before, because you can see
853.8399999999999	858.4	 something like a foreach, which is essentially a looping construct within Terraform.
860.24	865.6	 Now, think of a full-scale production configuration with potentially a different
865.6	870.16	 production configuration, with potentially hundreds of VRFs, hundreds of bridge domains,
870.16	876.24	 EPGs, contracts, filters, etc. You can imagine that configuration like this can become quite complex.
879.36	885.52	 Now, compare this to what you need with Nexus as code. It's purely a description of how you want
885.52	891.76	 ACI to be configured, a tenant with a specific name and a list of VRFs. That's it, right?
891.92	896.56	 You don't need to think about in which order do I need to configure these objects, right?
