start	end	text
6360	11020	Hello everybody. Thanks for stopping by and listening to me talking about network design.
11620	15860	My name is Mark Holm. I am the exam program manager for the CCD certification here at
15860	22360	Learning and Certifications. So I talk network design all the time. That's what I do and that's
22360	29580	how I make a living in my professional career at the moment. I make sure that if you go take
29580	34140	the CCD exam, it's my job to make sure we test you the right way. But I'm not going to talk so
34140	39880	much about the DE today. I'm going to talk much more about some of the stuff you need to know to
39880	46480	be able to be a network designer. Because at the end of the day, network design is not just making
46480	52280	some drawings in Visio or other drawing programs. This is about knowing the requirements, knowing
52280	58500	your customer, knowing your organization to make sure they have or get what they need.
59920	64200	So it's not just about technical knowledge. You need other things as well. So that's what I'm going
64200	69160	to cover today. I'm going to give you an example that's going to look very simple, but it's going
69160	76760	to have two very different outcomes depending on the requirements. So quickly, there is a
76760	80820	Webex space for this. So after the session, if you registered, you should have been added to Room.
81300	85780	If not, let us know. Otherwise, feel free to ask me questions afterwards if you have
85780	88220	any follow-up questions or anything I've been saying today.
91400	95620	So let's have a look at some of the required skills that you need.
98220	105860	Because network design is not an exact science. You need to have technical knowledge and you need
105860	112100	to have experience, right? Because without the experience, it will be harder for you to design
113000	119140	well-functioning networks that are built to the purpose they are supposed to do.
120380	123800	And then you need to understand the goals of what you are trying to do.
124100	129640	So if you're working on a project, you need to understand why this project, what are the goals,
130120	133820	what do you want to achieve, your customer or your organization, what are you trying to get
133820	139460	to? Don't just blindly assume, oh, this is just a network. It won't be. There's going to be some
139460	144120	requirements. There's going to be some business behind it that needs this to make sure they are
144120	147300	fully able to utilize this network afterwards.
149580	156980	And we see this every day. Network designs that are bad, they cause problems every day.
158040	165200	So essentially, you spend a lot of time and money fixing those problems. Those money would have been
165200	171760	much better spent making a proper design at the beginning of the project. But the thing here,
172460	178560	and this is bullet number four here, is very important. There is no one size fits all. That
178560	179560	doesn't exist. There is no one size fits all. There is no one size fits all. There is no one size fits all.
179560	184820	So when we talk about Cisco validated designs, they are very good. They are validated,
185000	190680	of course, hence their name. But at the end of the day, they should be seen as a starting point.
190760	196900	You need to trust and verify. Make sure it actually fits. Because there might be or likely
196900	204180	will be a requirement somewhere in this information you get from your customer that says, we can't use
204180	208580	the solution as it is. We need to make some adjustments. And there's always going to be
208580	209220	some tradeoffs somewhere.
210220	217000	You can't build the coolest network ever built because the customer probably can't afford it.
217740	225120	You need to make sure that you find a balance between features and what's actually needed.
225280	230020	Don't just throw in a lot of features because somebody has to pay for it at the end of the day.
230600	239300	And money, it always wins. Every time. No matter what you do, if there's no money to buy what you're
239300	245460	suggesting, you won't win. It's going to be shut down. It's not going to be valid design for this
245460	251300	game. So this is why you need not a master's degree, but you need a business understanding
251860	257180	to be able to do proper network design and be a true expert in that field.
261180	268100	So you need to be able to analyze and understand what you're working with, what you're working in,
268100	272600	and who you're working for. If you don't have that understanding,
272920	276340	chances are you will be making wrong decisions somewhere along the path
276340	281900	and will fail to meet the requirements that you've been asked or tasked to do.
283900	289820	So you need to make sure that whatever you do, it supports whatever goals and strategy are set for
289820	294840	that business. Again, if you fail, they won't call you next time they need a design project.
295060	297560	You need to make sure that whatever you do,
298100	303020	is aligned with the strategy. So you need to ask questions. You need to make sure you understand
303020	311120	this. Don't assume it. Verify it by asking. And then you need to, of course, meet all the
311120	315540	requirements, but there's also going to be some constraints. It might be, oh, we can't use new
315540	322040	technologies. We can't use, hopefully nobody says that today, but we can't use VXLAN. We will only
322040	327980	use traditional VLANs. Okay? It might happen. But there might be constraints that you need
327980	332360	to add to that will completely take away everything that you have learned recently here at
332360	336680	Cisco Live. So this is a new, cool technology. This is what you should all be doing. But if a
336680	342080	customer says, we don't want that, then you have to meet that requirement by not doing it.
343720	347840	So again, it ties into that you know who you're working for. So if you're working on a new project,
348500	353020	spend a little time researching the company name, researching what they do,
353180	357620	what kind of company are you working with? Because if you do that, you might have a better
357980	362380	understanding and a good starting point in succeeding and understanding what they're doing.
365680	372420	You need, and we talk about this, I say business requirements. You also need to have deep,
372560	378640	solid technical understanding of the features, the protocols, all the technologies. You need to
378640	382960	have good knowledge of them. Because you need to know what kind of problems they can solve
382960	387000	and how they can solve them. And you only have that by having a deep technical knowledge. You can
387000	392120	just, oh, I think VLAN will be good here. You need to know why VLAN will be good. Because you need
392120	398400	to ask them why questions. So if you talk about the CCIE, which is much more about implementation,
398820	404460	so this is more how you do it. When you do a design, you have to ask why.
