start	end	text
0.0	18.52	 Hello, everyone. Welcome. We are halfway through Cisco Live, so I hope you are enjoying. And
18.52	23.36	 I hope you are in the right session because in this session I will be talking about infrastructure
23.36	27.76	 as code and how we can utilize Flask with it.
27.76	32.04	 Let's take a quick look at our agenda today. First, I will be talking about infrastructure
32.04	38.2	 as code workflow. Then we will take a quick look at Ansible and Terraform basics. Then
38.2	44.64	 main topic, right? Flask. I will be talking about Flask and how to use it with infrastructure
44.64	50.92	 as code. You know, we will add it in the infrastructure as code workflow. And at the end of this session,
50.92	56.480000000000004	 I will be talking about two simple scenarios. So let's start with infrastructure as code
56.48	62.839999999999996	 workflow. And in the early days of our carrier, we only had physical appliances, right? We
62.839999999999996	68.08	 built, tested, and deployed the system as a whole, which means that our deployment speed
68.08	74.84	 was really slow. And with the introduction of virtualization, we separated virtual layer
74.84	80.36	 and physical layer, which means that we can create virtual machines, right? Each virtual
80.84	87.84	 machine will have its own deployment cycle. So deployment speed increased. And as you know,
89.36	96.36	 during the containers, with the coming of containers, we divided virtual machines into
98.28	103.88	 multiple containers. So each container will have its own deployment cycle. So overall,
103.88	108.4	 deployment speed even increased. As network engineers or DevOps engineers, we need to
108.44000000000001	113.92	 keep up with these innovations. Why? Because these deployment cycles may require network
113.92	120.12	 configuration, right? How can we do it? That is the real question. And in here, infrastructure
120.12	125.84	 as code comes into the picture. Here you can see a simple workflow for the infrastructure
125.84	131.56	 as code. And we have our coder here, coder, network engineer, or DevOps engineer. He or
131.56	138.56	 she can build the code or build the configuration by using Terraform, Ansible, Python, or other
139.68	145.32	 methods, right? Then this configuration will be uploaded to a version control system. As
145.32	152.32	 name states, version control system will manage the code, right? So if our coder or network
153.28	159.52	 engineer changes the code, version also be changed in the version control system. Then
159.68	165.42000000000002	 this version control system will notify the pipeline orchestrator or pipeline orchestrator
165.42000000000002	171.58	 can pull the data from the version control system. Either way, when version changes,
171.58	177.48000000000002	 pipeline orchestrator will deploy the configuration to the endpoint, right? And at the endpoint,
177.48000000000002	184.48000000000002	 this configuration will be executed. As we discussed, our coder or network engineer can
184.76	189.16	 build the configuration by using Terraform, Ansible, Python, or other methods, but among
189.16	196.16	 these, Terraform and Ansible are really popular. So let's take a quick look at both methods.
196.39999999999998	201.62	 Let's start with Ansible. As you know, Ansible is open source configuration management tool,
201.62	208.62	 and you need to write your Ansible configuration in YAML files. And you can manage a wide range
208.62	213.72	 of systems with it, you know, virtual machines, network devices, cloud resources, right? It's
213.72	218.64	 also agentless, so you don't need to install an agent at the endpoint, but there might
218.64	223.76	 be a Python dependency, so at the endpoint, you might need to install a Python library
223.76	230.36	 or Python itself, right? That is Ansible. Let's quickly check the example here. As you
230.36	237.28	 can see, we have Playbook, and within Playbook, we have Plays. And when I execute this Playbook,
237.28	242.92	 all Plays will be executed from the beginning, which means that initially, if I execute this
242.92	248.44	 Playbook, of course, all Plays will be executed, right? But if I execute this Playbook again,
248.44	255.44	 all steps will be executed again, even though there is no change. And in here, you can see
256.53999999999996	263.03999999999996	 a host line, right, which refers to inventory file. And in this file, I only listed two
263.03999999999996	270.03999999999996	 hosts, N9K1 and N9K2. So if I execute this Playbook, this Playbook will be executed towards
271.04	278.04	 this N9K1 and N9K2 only. So there will be no execution towards N9K3. And here, as you
278.6	284.72	 can see, if you want to execute Ansible, you need to use Ansible Playbook command and with
284.72	290.96000000000004	 your YAML file, right? And as a CLI output, you will see, of course, your Playbook, Tasks,
290.96000000000004	297.96000000000004	 and hosts, but most crucial part is the summary part, where you can see if your configuration
298.88	304.84	 is failed or if there's an unreachable host, you can see in this summary part. Let's continue
304.84	310.96	 with the Terraform. Terraform is really similar to Ansible. It's also open source, right,
310.96	317.96	 but different to YAML. Compared to Ansible, you don't need to use YAML files, but you
318.88	323.79999999999995	 need to write your configuration in H-Harp language, in HCL language. So there might
323.84000000000003	327.32	 be a learning curve there because you need to understand how to write your configuration
327.32	334.32	 in HCLR. And you can also manage a wide range of systems with it, you know, virtual machines,
334.48	339.04	 network devices, cloud resources, right? And actually, Terraform is really popular for
339.04	344.56	 public cloud resources. It's also agentless, so you don't need to install an agent at the
344.56	350.8	 endpoint. Also, you don't have Python dependencies there, but when you execute Terraform, it
350.84000000000003	356.48	 will require a single binary file, which is also called provider file. You need this file
356.48	361.36	 for interacting with endpoints. You know, Terraform needs this file. Let's see Terraform
361.36	368.36	 workflow together. We have our coder again. He or she will create or update code for managing
368.6	374.28000000000003	 the infrastructure, right? He or she will write this Terraform code in HCL language.
375.2	381.59999999999997	 For your initial execution, then you execute Terraform, it will install a provider file
