start	end	text
0.0	15.6	 Okay, I will go ahead and get started. Appreciate you all for showing up. I know that this is
15.6	19.56	 probably the last session separating you and something down at the General Assembly, so
19.56	25.76	 I appreciate the audience. A couple of housekeeping items. The headphones are there to hear if
25.76	29.12	 you haven't been here before. There is a volume control on one side. It depends on which side
29.12	32.64	 it is so you can raise or lower my voice. I don't know if they are sound canceling,
32.64	35.72	 but you can turn all the way down and get a great nap if you are interested. The other
35.72	39.160000000000004	 thing is that when you touch them, there is also a side that changes the color of the
39.160000000000004	44.24	 outside band of the headphone. Make sure they are on that white looking bluey color. If
44.24	47.400000000000006	 they are different colors, you will pick up different channels and it may be a better
47.400000000000006	52.36	 presentation but you won't hear me. So with that, we will go ahead and get started. My
52.36	56.480000000000004	 name is Quinn Snyder. I am a technical advocate with Cisco Learning Certifications. But prior
56.879999999999995	61.04	 to moving over to Cisco L&C, if you can't tell by the back of my laptop, I was a developer
61.04	68.03999999999999	 in DevNet for three years and I really have a fascination and love for all things infrastructure
69.96	74.8	 as code, including Terraform. So I have done some introductory discussions around Terraform,
74.8	78.17999999999999	 really how to use it and how to get started, but I wanted to take that up to the next level
78.17999999999999	83.47999999999999	 and cover some more advanced or esoteric things within Terraform. So I have got to put this
83.48	87.12	 presentation together. It is my first run of it, so hopefully it hits the complexity
87.12	94.12	 level. But if not, I appreciate you attending anyway. So we will have, there is a DevNet,
95.60000000000001	102.52000000000001	 there is a WebEx room that is available for this session. My slides aren't super dense,
102.52000000000001	107.54	 but I will post a PDF in there as well as on the GitHub repository because most of this
107.54	112.08000000000001	 I hope to be a hands-on demo and show you some of the things around Terraform and how
112.08	115.52	 we can improve the experience as well as how we create things like modules, et cetera.
115.52	120.8	 So I will have a QR code with my GitHub repository and I will drop that link as well in the WebEx
120.8	126.64	 room probably later tonight after I have had a chance to get some more coffee. So on the
126.64	131.84	 agenda today, it is going to be a lot of Terraform commands. So I want to talk, the first three
131.84	136.07999999999998	 things on that list are really creature comforts and items around how do we make Terraform
136.07999999999998	140.84	 a little bit easier to consume. So I will talk a little bit about TFN, which are those
140.84	147.56	 who have used Python and PyN or something like ASDF or MyZonGuard. It kind of provides
147.56	152.04	 the same feature functionality there. I will talk about Terraform format or FMT, how we
152.04	156.2	 make our HCL a little bit more readable if we don't worry about that at the front end.
156.2	159.68	 I will talk about Terraform graph and how we can use that to get some output from our
159.68	164.92000000000002	 Terraform plans to show what is going to happen under the covers when we run a Terraform apply.
164.92000000000002	169.04	 And then the next two things are really focused on the usage of Terraform itself. The Terraform
169.04	173.14	 console. And my focus of that is really on how we get variable manipulation to occur
173.14	178.07999999999998	 properly inside of Terraform. I know there is a lot of struggle with we have these data
178.07999999999998	182.28	 structures where they are written in YAML or JSON or others. That we have this structure
182.28	185.88	 that has been predefined. Maybe we are using something like Netbox as a source of truth.
185.88	189.95999999999998	 We need to export those things and manipulate them to get the right output format for our
189.95999999999998	195.2	 variables before we put that into Terraform. We can use Terraform console to manipulate
195.2	198.07999999999998	 those things. I want to show you some of the tricks and tips and some of the things that
198.12	201.88000000000002	 I do with Terraform console before I build my plans to make sure I am doing things the
201.88000000000002	205.48000000000002	 right way. And then finally I will wrap it up with Terraform modules. So how we create
205.48000000000002	210.48000000000002	 a higher level automation or abstraction I should say across Terraform so we are not
210.48000000000002	215.48000000000002	 entering the same variables over and over again for the same repetitive work. So we
215.48000000000002	222.16000000000003	 will go ahead and get started. So first of all, before I get started, how many folks
222.16000000000003	227.96	 have used Terraform at all? How many feel that you are fairly proficient with Terraform
228.04000000000002	232.4	 at least building the HCL, being able to read the documentation, someone asks you to build
232.4	235.0	 something new in the cloud and you are like okay let me look at the docs and build the
235.0	241.24	 HCL. Yeah, okay, perfect. So we are level set about the right audience here. So one of the
241.24	245.44	 things that I do when I build, when I have worked with any infrastructure's code, I know
245.44	252.44	 Ansible has its own baggage. So I have used PyEN for a lot of my work. Terraform has made
253.44	258.96	 that much easier because I have said before it is a precompiled go binary. So we just
258.96	263.96	 download that binary and install it to path and we are off the races. The problem is that
263.96	267.56	 if we want to run different versions of Terraform or use different versions of Terraform, say
267.56	271.44	 we are looking at our dev test environment where we are going to use the new version
271.44	276.52	 in this case it is 196 is the latest release but maybe we are stuck on 17. Do we have compatibility
276.52	280.24	 with our HCL and how do we test and verify that? You are kind of left up to your own
280.24	284.86	 for semantic versioning because every binary is named Terraform so it is incumbent upon
284.86	290.40000000000003	 you to say this is Terraform 176 or whatever or however you are going to notify that. So
290.40000000000003	296.72	 there needs to be, it is not a need, it is a nice to have but I like to do it. There
296.72	301.52	 is no really good way to manage Terraform versions on your own. And so that is where
301.52	308.36	 Terraform TFN comes in handy. So this is a CLI tool that you can install under your work
308.36	313.92	 station, Mac, Linux, it doesn't natively support Windows I don't think but it does
313.92	318.8	 support WSL and it is a CLI tool that manages the installed version of Terraform into your
318.8	324.8	 path. So how many of you have used pie ENV before? Okay, same kind of principle. I do
324.8	331.44	 TFN if I can list remote or list it local install and I can switch those versions in
331.44	338.28000000000003	 between either manually by using a TFN views or if I have a .terraform version file installed
338.28	342.15999999999997	 inside of my local directory it will automatically switch the versioning based on what I have
342.15999999999997	348.2	 there. So very easy to install and it supports all versions of Terraform so not just the
348.2	353.64	 major versions that are in this slide here so if we go to terraform.io these are the
353.64	361.64	 ones that we can download and install directly from terraform.io. This will, excuse me, TFN
361.8	369.59999999999997	 will allow you to install all of those so let me just show you that real quick. So right
369.59999999999997	381.59999999999997	 now I have 198, 185, 175 and 145 installed on my system. However, we can do a TFN list
381.59999999999997	388.03999999999996	 remote and we can see that there's a, we can install whatever version of Terraform that
388.04	393.96000000000004	 we want there so we can do all kinds of crazy regression testing using TFN and this includes
393.96000000000004	398.56	 alpha versions, beta versions. They do a really good job of making sure that it's accessible
398.56	404.56	 for everything. However, if we want to go and what I'll do here, so if I do terraform
404.56	414.0	 version, like I said we're using 198 locally in this main DevNet 2565 folder. I'm going
414.0	420.32	 to move into this 02 graph folder and because we have this terraform version which is simply
420.32	424.88	 just the version number, 185, we can see that before I had that installed on my system,
