start	end	text
2.7599999999999993	3.68	 All right.
4.5600000000000005	12.52	 Endpoint security group is a logical continuation of the previous session because endpoint security group is an evolution of endpoint groups.
14.14	29.72	 And so the key reason for this feature is the evolution of deployment of ACI and the need to have a more flexible security group where to put servers, where to put VMs and physical servers.
30.339999999999996	43.0	 So in order to give you a bit of a perspective on the logic about this feature, let's start from what has become to be called network-centric deployments where you have bridge domain with one EPG.
43.48	49.68	 And if you want to have more granular security group, what you would do is you would divide the bridge domain into multiple EPGs.
50.86	56.58	 But then what if multiple subnets need to share the same security rules?
56.84	59.68	 What if a given security zone?
60.0	63.9	 Should encompass multiple servers of different subnets?
65.1	77.12	 What you could do before endpoint security groups would be to merge bridge domains and then to create EPGs with a bridge domain that has multiple secondary multiple subnet IP addresses.
78.30000000000001	83.58	 The problem with this is that while from an ACI perspective, it's fine, it works.
84.52000000000001	89.98	 It's often not considered because of the shared.
90.0	96.96	 Sharing of the broadcast domain among servers of different security zones, which from a security perspective is not really ideal.
97.34	102.92	 Even though it has a bunch of tools to reduce flooding and reduce our flooding and so on.
104.03999999999999	113.86	 So, welcome to endpoint security group with endpoint security group. You can define a security zone consisting of servers of different subnets.
115.08	118.26	 And so that's really what this is about. It's a.
118.26	126.78	 Similar concept to endpoint group, but it's not constrained by the bridge domain. It's constrained by the instead.
129.74	134.22	 So, here's an example of a security policy defined with groups.
135.02	143.78	 You would have web app in the same with selectors for the subnet. Sorry for the addresses.
144.3	148.0	 It also be subnets, by the way, that belong to the same.
148.60000000000002	154.96	 Security zone and contract to connect them. So it looks and feels like an.
157.56000000000003	165.66	 Any basically, you can think of it more or less like an, but again, it's not it's it's really a configuration.
168.20000000000002	171.44	 The still has a reason to exist because.
172.54000000000002	175.18	 We've been in the way to map traffic.
175.18	180.2	 Coming from a given port on a given Milan to a given bridge domain. So from a.
180.64	184.44	 Networking perspective, you have a reason to exist even.
185.24	190.88	 Once will become widely adopted. What are the benefits of using?
191.46	197.5	 Well, it can simplify greatly the contract configuration because of the ability to aggregate.
199.84	201.54	 Host endpoints that.
201.68	204.84	 Are now maybe in different spread across multiple.
205.18	213.42	 Domains the side effect of this, the positive side effect of this is that it also reduces policy optimization in these kind of scenarios.
214.8	219.46	 And then it's also delivers a much cleaner way to do inter filtering.
221.08	222.76	 So, we're going to take a look at that.
223.7	228.2	 Let's take a look at a concrete example. This helps visualizing.
228.5	234.48	 Um, multiple things 1 is the simplification aspect of the configuration of the security configuration.
235.18	241.36	 The other aspect is the reduction in number of contracts. So, let's imagine that the requirement is for.
242.38	245.16	 Web vms to be able to talk to vms.
245.96	256.22	 When I give them a report, so web vms will be in the same security zone. So they need to be able to talk freely and also need to be able to talk freely in their security zone.
257.02	261.7	 Given that you have these different bds and these different subnets.
262.12	263.78	 Um, if you have to achieve.
263.78	271.54	 This goal with today's tools, meaning with as they are today, you would need a contract between.
272.08000000000004	275.4	 If you want 1 and 1, 2, because they are web vms.
276.36	281.82	 Any 2, 3 and 2, 4, because there are vms and these contract will be basically a permit.
281.96	291.44	 And then we need a contract to be export to be provided by 2, 3 and 2, 4 and consumed by 1, 1 and 1, 2.
291.44	294.2	 In terms of number of.
294.2	306.46	 E, pg pairs and associated rules that need to be managed. It's quite a bit of them compare this with a configuration where you just have a contract between the app and the web.
308.15999999999997	311.6	 So, why is this will be much, much cleaner.
314.22	317.14	 So, some of the key points to remember about.
318.2	321.34	 Uh, designing for this feature. Well, the.
321.36	321.42	 Uh, designing for this feature. Well, the.
321.42	321.42	
321.44	324.22	 Hardware requirements, so this is not for for generation leaves.
325.90000000000003	334.82	 Um, then configuration wise, the are still required and for good reasons, because there are still a number of features that makes sense.
335.02	339.18	 To exist on, um, you can configure.
339.74	350.3	 Uh, so the last 3 out, uh, still define the connectivity to the last 3 out is still defined as a later out. It's a later external and you can configure a contract between the external.
350.66	351.08	 And the.
351.1	351.38	 SG.
351.42	351.42	
352.66	355.32	 Um, can be configured with service graph.
357.50000000000006	361.04	 Um, is this with the interview of contracts has got the much.
361.4	364.72	 Um, cleaner implementation, and I'm going to show you that.
366.16	371.42	 Um, and also includes, uh, as well as prefer groups.
373.06000000000006	376.74	 Um, so these are some of the key points you need to remember when using.
377.70000000000005	380.1	 Now, that's some restrictions that are important and.
380.1	383.1	 And probably these are.
384.14000000000004	389.4	 This means that you're not going to deploy today with that fight at all. You're going to.
389.44	395.88	 Probably waiting for the next release before you consider deploying this feature. So take a look at the feature try it, but.
396.62	409.76	 Probably these restrictions will prevent you from going into production today with this feature. So, um, the only way to classify traffic into today is by matching the IP address of service. Whether it's, um.
409.86	410.08	 Um, and probably these are.
410.7	416.92	 The tool, or you can also define it with, um, by using session before, for instance.
418.55999999999995	427.8	 Um, and also the today applies only throughout the traffic, which means that to make sure all the traffic is classified according to the.
429.31999999999994	434.8	 And even if there is a layer 2 traffic in the, um, you need to.
435.42	439.74	 Enable micro segmentation or in isolation in another way, you need to make sure.
440.46000000000004	456.18	 That the are not are going through the leaf are going through the rather path for the security enforcement to be applied. This is today. This is for 5.0. it's not going to be the case in 5.2 meaning in 5.2.
457.1	466.22	 There will be more classification options, which don't require this additional configuration. Okay. The other restriction, which, um.
466.78000000000003	468.86	 It's debatable whether it's a big 1 or not,
468.86	472.18	 but it's that there is no contract.
473.22	477.8	 Uh, this is actually more of a choice that we made so that you can.
478.8	489.04	 I mean, we want if you're using, then you should plan defining your security zone, scary rules based on not on a mix of any having said that.
489.4	495.16	 For the next release, we're working on a classification option, which is much, which.
496.34000000000003	498.76	 Helps you with the migration by having a 1, 2,
498.76	503.04	 1 mapping initially between for migration purposes.
504.5	506.34	 But there are the ways to migrate today.
506.78	519.24	 By using busy any or prefer groups, and we're going to show them in a few slides and then to add 2 features that are definitely not implemented are the integration with multi site.
519.44	528.06	 As well, as interviewer, I have service graph between these are not implemented yet. And so this is something you need to keep in mind.
529.28	537.68	 Again, yeah, if you want to add a couple of questions that they came, if you don't mind 1 that comes very often.
538.6800000000001	543.76	 Is there anything on the roadmap that will allow 1 and point to belong to multiple.
545.5400000000001	554.38	 Okay, second question is since specific as you clarify, they're used for networking purposes, right? To map to, et cetera.
554.52	556.46	 But if you use a PC tag,
556.52	557.04	 yes,
557.1	557.5	 geez,
557.62	558.28	 a PC,
558.28	558.78	 a PC tags,
560.4399999999999	561.82	 how is this configuring?
561.84	565.82	 Are there what kind of mapping if any exists between these 2 entities?
565.94	568.78	 Right? So let me address the 1st question.
569.32	585.54	 So there is no, I mean, the idea of having an endpoint belonging to multiple as Jesus, something not new that we heard before. There's not going to be such a capability soon. Anytime soon. At least.
586.32	587.74	 The idea though,
587.74	593.18	 is that there's going to be a way to classify workloads by using matching of tax.
594.7	595.4	 So you can define,
596.08	603.06	 you can associate each endpoint each VM or each physical endpoint with multiple,
603.16	615.98	 you will be able to associate multiple to annotate multiple tax to different endpoints and then to create that are based on matching 1 of these key value pairs.
616.74	625.74	 But, but the endpoint has to belong to 1 cannot belong to 2 at the same time. Okay. If what you're trying to achieve is a simplification of.
626.1	639.1	 The policy rules definition, because you find it hard to maintain all the rules of for window servers in and for windows servers in a pack.
639.92	644.26	 Then the tool is using master basically,
644.32	645.18	 define the master,
645.28	645.46	 yes,
645.46	646.28	 SG for say,
646.36	648.16	 Windows servers and master SG for.
648.84	649.36	 Uh,
650.46	662.04	 Linux servers and master SG for servers and master SG for a pack servers and then when you find the actually PG actually SG for deployment,
662.24	666.6	 you inherit the security rules of what is relevant.
666.8	666.92	 So,
667.0	670.44	 if you're trying to define a rule for windows servers in a pack,
670.48	673.7	 you just need to inherit for windows servers in narrative from a pack.
673.84	674.58	 And then,
674.6	675.22	 if you need to make,
675.22	676.58	 make a change just to window servers,
676.68	678.04	 just modify the master,
678.18	678.4	 yes,
678.4	680.04	 you don't need to change on the manually.
681.02	682.22	 So that is,
682.32	692.16	 I think what you're trying to achieve and I would say it doesn't require for the single is the endpoint to belongs to multiple SG is there either the other way around that the same.
692.76	694.04	 It belongs to 1 single SG,
694.22	701.72	 but I say me a single SG can pull in security roles from different templates about the 2nd question.
702.02	704.92	 The is G is probably not exactly the same way.
704.92	710.52	 The key difference is that we are locating global PC tag or global class.
710.6	719.9	 It is so they are basically the ones that somehow you see already allocated for interview RF contracts,
720.4	721.8	 but basically here,
721.92	723.74	 the SG gets them all the time,
723.78	724.94	 not just for interviewing filtering.
726.2	729.18	 And they get programming hardware the same way as are.
730.16	730.76	 Um,
731.8199999999999	732.66	 you know,
732.66	733.1	 I mean,
733.1	734.48	 these optimizations are possible,
734.48	734.7	 basically,
734.96	737.04	 because we're not including 1st,
737.08	743.9	 national leads into this into the support for this feature and so some of the caveats or limits that were previously there don't apply anymore.
745.24	758.04	 Okay, so let's take a look at the configurations. I think this is going to remove a lot of the mystery from from this feature. The new fields for easy configurations are primarily these ones.
758.22	763.92	 I mean, they are the under location profile. You find endpoint security group filled with.
764.48	765.92	 Contracts and selector configuration.
767.1800000000001	771.34	 And then there are these new configurations for interview.
771.38	783.98	 Um, filtering, because basically what the coupling the leaking for route from the policy filtering. So these are the route leaking configurations.
785.0	788.82	 Uh, for purposes, so basically, which.
789.32	794.26	 Subnet should be announced to which we are and whether that subnet can also be.
794.26	806.6	 Announced then externally and similarly for routes learn from the outside whether these external routes need to be leaked, which we are for shared layout purposes.
807.62	810.46	 And this is a prefix list config basically.
811.04	817.5	 So these are the key new areas of configuration that are relevant for.
817.58	823.14	 So, the basic configuration step 1st is a configuration step that you will have to do anyway.
823.3	823.9	 Uh,
823.9	829.96	 which is to tell a traffic from this port and this belongs to these.
830.76	850.86	 Hence these BD. Okay. So traffic from these VM also belongs to these into this. So these are configuration make anyway and it's a, I would say a network layer configuration. It's not a security configuration. It's just to say, how do I decide which we are asking? Which bridge domain?
851.3	853.54	 Does this belong to for.
853.54	856.56	 For what in purposes? Okay.
857.64	863.58	 Um, on this, as of this release, you have to do these extra configs we mentioned in the beginning.
864.5799999999999	870.98	 Basically, to either allow micro segmentation or to do contract with permit, all of something.
871.66	883.02	 To make sure traffic becomes sort of quote unquote router traffic. Okay. So that's, uh, as I mentioned, it's as a fight at all, but stay tuned for fighter 1, because there will be other classification options.
883.02	886.56	 Which would not need this specific configuration.
887.98	898.28	 2nd step, create an, and then define the selector. So the match expressions, which don't need to be matching could also be a subnet matching.
899.14	912.66	 And this is the picture that is associated with this throwing with this screenshot. So these 2, I belong to 1 and these 2, I belong to. So you have your security zone spanning bridge domain.
913.74	928.6	 Contract configuration, no brainer, you know about it. Nothing special to say the key point though here is that if you have a contract that is a provider consumed by an, and you try to associate it with any, you cannot do that.
929.96	937.02	 Okay, you get a false message on the other hand if you have a layout with a contract and the contract is consumed by the.
937.3	940.1	 That is possible because for outside connectivity.
941.16	941.18	 Uh,
941.34	942.68	 is this are still relying,
943.02	956.3	 on later the externals or later where can you see endpoints you go to the operational tab? It's been updated. So you have an operational tab for entries where you see the base for instance.
956.5	966.14	 And then under the operational tab, you can see then the endpoints under the PG, and you can see to which or which micro segmented they belong to.
967.96	971.32	 So, these are list of configurations that are allowed. They're not allowed.
971.54	972.7	 So I've already mentioned the.
973.02	986.14	 More important ones, so again, is it with G is allowed by is not and is it to micro segment? Neither. But we already talked about the other ones.
987.2	993.98	 Down the last day out configuration is utilized out. It requires pretty much no.
994.62	997.2	 Not additional knowledge than what you already have.
997.64	998.2	 Um,
999.1600000000001	1002.6	 you can configure the announcement that the,
1002.6	1002.76	 the,
1002.76	1006.28	 the later external contracts the same way as you always did.
1006.46	1007.1	 Um,
1008.34	1010.08	 since we talked earlier about direction,
1010.6	1011.22	 uh,
1011.36	1012.26	 works for.
1013.14	1015.24	 Your fingers or doesn't matter.
1015.7	1018.42	 It equally works in both scenarios.
1020.02	1021.8	 And now with share services,
1022.52	1022.56	 um,
1022.78	1025.24	 I'm highlighting here the difference between,
1026.16	1026.2	 um,
1026.42	1030.02	 with share services and with share services.
1030.1	1031.64	 So there's a big difference because.
