start	end	text
2.68	5.1	 Should I start or should we start?
7.5	9.02	 Okay, sounds good.
9.9	11.72	 All right. Hi, everyone.
13.02	14.96	 We're going to start with this session
14.96	17.62	 about the ACI operational best practices.
18.68	22.3	 The focus area of this session is about
22.3	25.88	 layer 2 integration and also a little bit of security.
27.339999999999996	29.16	 You already heard from
29.16	31.7	 Joyce asking something about endpoint security groups.
31.92	33.38	 So at the end of the presentation,
33.62	35.8	 we're going to build on top of what he presented earlier.
37.26	39.74	 So the agenda, no, wrong.
40.46	41.84	 So this is the agenda.
43.36	44.62	 We're going to start from
46.62	50.06	 the layer 2 networks integration with an example,
50.2	52.66	 which gives me the opportunity to explain to you also
52.66	55.4	 the latest enhancements that
55.4	56.98	 we introduced for layer 2 integration.
57.32	59.44	 So why and how to use virtual port channels?
60.52	62.36	 Should we run spanning tree or not?
62.54	64.46	 The answer of course is yes to
64.46	65.78	 run spanning tree on the external devices,
66.52	69.26	 but, and we're going to talk about what follows,
70.27999999999999	72.88	 using MCP which is something that I've seen,
72.94	75.34	 it's a bit misunderstood what
75.34	77.34	 MCP does and how it should be used.
78.91999999999999	82.34	 Then mitigating endpoint flapping that could be the result of
82.34	84.86	 a loop by using Roggen point
84.86	87.48	 control which is another feature that has been
87.48	90.88	 used or not used and there's a bit of confusion.
91.28	93.4	 And then we're going to talk about segmentation,
93.56	97.18	 how to segment the fabric with endpoint security groups,
97.28	101.74	 with or without flooding encapsulation and how to add
115.64	118.58	 a new element where we're going to add
119.22	122.56	 different features to make it very stable.
122.92	125.46	 So the example deployment assumes
125.46	127.1	 that you're trying to connect blade switches.
127.46	129.22	 So these are blade enclosures.
130.36	134.76	 So these two switches represent typically non-Sysco switches.
135.16	137.34	 Let's say HP for instance or Dell.
138.4	143.42	 And then these are the blade servers and the VMs running on them.
143.52	144.56	 And they are
144.56	147.38	 connected to ACI Leafs and this is the topology you'll
147.38	149.84	 know about with the ACI Leafs and Spines.
151.44	154.3	 Some assumptions on the blade server environment.
154.66	158.22	 So this is the blade enclosure and again you have here
158.22	162.26	 the blade switches with port channels and assumptions of
162.26	165.18	 what these switches are capable of they can run a spanning tree,
165.32	166.88	 the dot 1d version,
167.84	170.32	 potentially with rapid spanning tree for fast convergence.
172.82	173.94	 And because
174.56	176.72	 they're non-Sysco typically they don't run
176.72	178.54	 provenance spanning tree, right?
178.64	182.18	 So it's going to be either one instance or
182.18	185.06	 multiple instances of spanning tree but not one provenant.
187.26	190.16	 They typically, I mean port channels of course they can do,
190.4	192.84	 but sometimes they can also be clustered together.
194.46	196.9	 And then they have of course spanning tree features
196.9	199.0	 like a BPDU guard and these kind of things.
199.24	204.54	 So this is basic assumptions that are fairly representative of what's in the,
204.54	204.54	
204.54	204.54	
204.56	204.78	 in the market.
205.02	207.5	 Of course there could be other things that I'm not aware about,
207.68	209.22	 but this is all we need for this discussion.
210.3	211.8	 So first question is,
212.4	215.72	 how should we connect the blade switches to the fabric,
215.9	216.76	 to the ACI fabric?
218.64000000000001	221.02	 And so why it would be a good idea to use
221.02	223.8	 virtual port channels and how to use the virtual port channels?
224.24	228.76	 And I'm pretty positive that all of you would
228.76	231.6	 agree that it's a good idea to use virtual port channels,
231.78	234.54	 but let's try to, you know,
234.54	234.54	
234.54	234.54	
234.54	234.54	
234.54	234.54	
234.54	234.54	
234.54	234.54	
234.54	234.54	
234.54	234.54	
234.54	234.54	
234.54	234.54	
234.54	234.54	
234.54	234.54	
234.54	234.54	
234.56	236.28	 look a bit more into the details.
237.48	241.1	 So if I'm not connecting blade switches with virtual port channels,
242.12	244.66	 what I'm going to do is I'm going to configure
244.66	248.22	 the ACI leaves to pass BPDUs because otherwise it would be a loop.
249.08	252.84	 And I would have to rely on the external blade switches spanning
252.84	256.58	 tree capabilities to keep in this case this port blocked, right?
256.8	259.6	 And it will be only this port block and not this one because remember
259.6	262.72	 that ACI doesn't run spanning tree so it's just a hub,
262.84	264.48	 it's just in that for spanning tree,
264.56	265.52	 it's just a hub, not in general.
265.7	269.66	 But so it's passing BPDUs and then to break the loop,
269.8	271.74	 this port will be to be blocking.
272.3	276.02	 So this approach without VPCs would rely on the external blade switches
276.54	281.52	 to do the spanning tree correctly and to block one port in this case,
281.64	283.5	 and of course more ports in a bigger topology.
284.46	285.84	 That's without VPCs.
285.94	289.66	 Now, if this spanning tree was disabled or there was an issue,
289.9	293.92	 you would have a nice loop which would not be nice,
295.02	297.44	 so you would experience a problem.
298.54	302.08	 Okay. So if you don't do any VPCs and if you don't configure VTropor channels,
302.3	304.2	 make sure you configure ACI to pass
304.71999999999997	307.22	 BPDUs so that this is the resulting topology.
307.84	311.0	 But the message of this presentation is actually that this is not
311.0	314.08	 the best possible implementation that you can,
314.24	316.18	 I mean the best possible design, okay?
317.94	319.44	 Now, if you use VTropor channels,
320.09999999999997	323.64	 this whole topology becomes nicer because all ports will become
323.64	327.96	 forwarding as you certainly know if you use ACI already,
328.18	331.38	 you would have a policy group type VPC for these two ports,
331.48	334.8	 1, 1 on both leaves and then policy group type VPC,
334.94	338.58	 VPC2 for 1, 2 and 1, 2 and this would result in
338.58	342.0	 these two port channels between the blade switches and the leaves,
342.14	345.3	 and the resulting topology overall will be like this.
345.42	347.72	 So you would have a lot of port channels there.
348.52	352.84	 So intrinsically, this topology doesn't have any blocking ports, which is good.
352.94	353.38	 Okay.
353.64	355.1	 the first benefit of using VPCs.
356.12	357.08	 That's the first one.
357.92	360.22	 Now, the other advantage of using VPCs,
360.24	361.9	 especially if you're using also
361.9	363.86	 the link aggregation control protocol,
364.08	367.26	 is that the link aggregation control protocol is also
367.26	369.16	 going to do a verification on the links,
369.28	371.38	 and making sure that if they are joined together,
371.66	373.56	 it's because they should be joined together,
373.68	376.86	 not because of some static configuration.
377.52	379.82	 So, LACP is a good verification mechanism,
379.82	383.16	 and there's a nice feature in LACP,
383.94	387.6	 which is the ability to put a port into individual state.
387.9	390.44	 Individual state means that if you look at
390.44	393.06	 the state machine or the specifications for LACP,
393.24	397.86	 we see the I state is when the LACP partner,
398.06	401.82	 meaning the device that the leaf is talking with,
402.0	405.84	 is not sending any LACP packets on a link.
406.1	409.48	 So, the LACP side of
409.48	412.04	 ACI will put the port into individual state,
412.28	414.62	 meaning that port is not joined in any port channel.
415.32	417.58	 Is it good that the port is individual state?
417.8	419.78	 Where should it be instead part of a port channel?
420.14	423.74	 It depends. In the specific scenario that we're talking about,
423.96	426.08	 it's not a good thing because what we
