start	end	text
0.7999999999999943	6.86	 Thank you so much, Joe. Now I'm feeling like a slice of bread. I'm opening and closing today's session.
8.32	17.28	 First of all, apologies for not being there in person. As Joe mentioned, I got COVID a few days before traveling, so I couldn't be there in person.
17.7	23.5	 But I'm trying to make the session the more engaging I can, so I'm going to feel like I am in the room.
24.119999999999997	42.52	 Today we're going to talk about ESGs and point security groups and how to migrate from traditional environment where you can have an network-centric approach using EPGs and how you can do that migration into ESGs and prepare your customer to do further segmentation when they need or when they want to.
42.96	53.32	 So that's going to be the end goal for today's session, discussing how we can migrate from an environment using EPGs and no segmentation at all using EPGs.
53.5	56.68	 To an environment where we are using ESGs for segmentation.
57.74	64.36	 During today's session, we're going to use Slido, same as before. It's exactly the same Slido event as you were using yesterday.
65.28	77.84	 But for those of you in the room, probably you lost the Slido window already, so you can use this QR code to scan it. I'm going to give you a minute so you can have time to scan this QR code and connect to the Slido.
78.2	82.8	 People connecting remotely, they have no problem because they have the WebEx integration.
84.38000000000002	90.74	 So in the WebEx window, you will see right now popping up the Slido poll that we're going to open to begin with today.
91.44	98.92	 Okay, the first poll that we're going to open is to get a little bit more feedback about how you are using or how your customers are using ESG today.
99.24	112.86	 So, as you always mentioned yesterday, that feedback is very important for us, because we use that to also tell our product management team and our engineering team how you use ESGs, how our customers use ESG, and that helps shaping the product.
113.68	122.98	 So, while the poll is running, I'm going to go through the agenda. So we are going to start with an introduction to ESGs and ESG selectors that we have available.
123.4	139.52	 It's going to be a very light introduction because I want to focus more in the second part of the session, which is going to be about ESG design considerations, all those kind of things that you need to have in mind while you are doing this migration, while you are preparing this migration to ESG.
139.76	141.8	 We're going to go through a migration scenario.
142.06	142.68	 As I mentioned,
142.76	143.48	 we're going to use the migration scenario,
143.48	155.38	 which is the most typical one, or the one I believe is the most typical one, which is having no segmentation at all, a traditional network centric model, and migrate to a model where you have some level of segmentation with ESG.
155.58	168.56	 I'll show you different scenarios where you can stop doing segmentation, depending on what your customer wants. You see route leaking as well. I will probably not have time to cover route leaking too much, but at least I will provide a couple of ideas.
169.02	173.38	 In a nutshell, basically route leaking with ESG is super, super, super simple.
173.44	173.46	 So,
173.48	180.8	 that's basically what you have to keep in mind. It's super straightforward, but I will tell you just a little bit of how to do it. Last but not least.
181.54	196.42	 We have a frequently asked questions section, which is totally for your reference. I'm not going to cover that today, but when you receive the PDF, that's going to be there. It's going to be there together with a few other slides that I'm not showing today, but they are also on the deck for your reference.
196.72	201.96	 So, in total, the deck is like, 91 slides. I'm not covering 91 slides, as you can imagine.
202.44	202.8	 So,
202.8	205.36	 but those are there for your reference after the session.
207.16	207.64	 Perfect.
208.24	210.78	 So, with that, let's move on into the ESG introduction.
211.86	218.68	 What is ESG? ESG is basically a new network security component that we introduced in Cisco ACI 5.0.
219.14	229.48	 But actually, it was very, there were a lot of enhancements on 5.2. So, if you ask me, I will not recommend you to run ESG before 5.2.
229.5	232.78	 5.2 is the version where you can start to consider ESG.
232.78	232.78	
232.78	232.78	
232.78	232.78	
232.78	232.78	
235.18	243.38	 We're going to see a few things that we introduced on 5.2 later, and you're going to understand why I'm telling you that 5.2 is probably not the version to start using ESG.
243.76	251.3	 That could be one of the reasons why many of you are not adopting ESG today in your customers, but there could be other reasons as well.
251.4	258.2	 So, one of the questions in the poll is, what are the reasons why you're not adopting ESG today?
258.76000000000005	261.52	 So, from the result that I'm seeing right now in the screen.
261.66	261.94	 Okay.
261.94	262.14	 Okay.
262.64000000000004	268.64	 So, 50% of you actually, the reason is because you are running, your customer is running versions below 5.2.
268.7	271.48	 So, actually, I was right, but there are other reasons as well.
271.56	275.3	 So, please let us know what is the reason why you are not using ESG today.
276.70000000000005	279.88	 What is the, basically, the main idea of ESG?
280.04	283.1	 The main idea is to decouple networking and security.
283.5	289.8	 The networking part is going to be still done using bridge domains, PRS, and traditional EPGs.
290.14	292.12	 And the security part is going to be moved to the next part.
292.12	292.76	 So, the security part is going to be moved to ESG.
293.02	299.24	 So, when we migrate to ESG, you are going to see that we no longer apply contrast with EPGs at all.
299.32	302.14	 We focus all the security using ESG.
302.54	308.32	 EPGs is just to provision the VLAN in the port and map bridge domains to particular port and interface.
308.64	308.82	 Okay.
309.6	311.3	 That's going to be basically the idea.
312.6	314.78	 We are going to win something else as well.
314.96	317.16	 The VRF RAS leaking is going to get simplified.
317.5	322.1	 It's not going to be longer related to subnets under the EPG.
322.1	322.1	
322.1	322.1	
322.1	322.1	
322.1	324.8	 So, how I apply the contract to produce the leaking.
325.0	326.52	 Now, it's going to be way more straightforward.
326.9	328.98	 You're going to decide where you're going to leak the route.
329.16	330.62	 What is the route that you're going to leak?
330.72	332.14	 And that's going to happen automatically.
332.36	336.56	 You don't need to do any special configuration with subnets under EPGs or anything like that.
336.76	338.02	 You're going to see that later.
339.58000000000004	341.44	 So, what are the benefits of ESG?
342.62	347.72	 Benefit number one is that ESGs are not tied to a bridge domain.
348.52000000000004	350.3	 ESGs are assigned to a VRF.
350.42	352.08	 So, that means that now you can have a bridge domain.
352.08	352.08	
352.08	352.08	
352.08	352.08	
352.1	356.5	 You can have security groups that expand multiple bridge domains, which is going to give you
356.5	357.86	 way more flexibility.
358.36	362.84	 Just to give you an example, let's imagine I want to do a segmentation like that in an
362.84	367.76	 environment that I have with multiple EPGs per bridge domain and multiple endpoints belonging
367.76	368.84	 to different subnets.
369.0	372.04	 With EPGs, that will be a bit more complex, right?
372.12	374.86	 Because EPGs cannot expand multiple subnets.
375.0	379.1	 With ESGs, that's super straightforward because they can take different endpoints on different
379.1	382.08	 subnets and group them under the same ESG.
382.08	382.08	
382.1	382.76	 So, I can have a bridge domain with no problem.
383.98	388.12	 That's going to give me additional flexibility and it's going to also simplify my configuration.
