start	end	text
0.0	4.04	 So here's what we're going to cover today for the next 90 minutes plus.
4.480000000000001	8.16	 We're going to talk a little bit about what infrastructure as code is, right?
8.26	11.66	 We're going to briefly sort of describe what we think infrastructure as code is.
11.9	15.64	 Then we're going to get into infrastructure as code with Ansible and Raf is going to cover
15.64	16.84	 that portion of that.
17.02	18.26	 Then we're going to come back to me.
18.36	22.34	 I'm going to talk about infrastructure as code with Terraform and then we'll talk about
22.34	22.84	 next steps.
22.98	27.28	 Where do we go from here based on some of the information that you heard about in today's
27.28	27.56	 session?
28.280000000000005	30.0	 Well, what is infrastructure as code?
30.16	34.52	 A lot of people like to define what infrastructure as code is, right?
35.06	40.08	 Simply, it's management and provisioning of computer resources or computer networks through
40.08	43.46	 code and data structures instead of through CLI commands.
43.72	49.2	 Now our friends on the cloud side and even some of our friends on the server side already
49.739999999999995	50.36	 are doing this.
50.4	54.44	 They're already leveraging infrastructure as code tools like Ansible and Terraform.
54.64	57.26	 However, now with things like the...
57.26	63.74	 ACI REST API and the ability to use infrastructure as code tools like Ansible and Terraform,
63.9	68.38	 now we as networking folks can start to look at leveraging those tools as well.
68.56	73.74	 Because traditionally, network operators, obviously, we looked at CLI and as Raf mentioned,
74.04	79.04	 finger net, configuring things by going through a CLI in order to configure those.
79.7	84.82	 In some cases, we may use an application in order to provision whatever infrastructure
84.82	87.1	 or configurations we want to push out there.
87.1	94.66	 Now, as mentioned, their new automation tools using Ansible and Terraform also allow us to
94.66	98.9	 define and configure and provision our infrastructure and our environment.
99.28	104.24	 And infrastructure as code tools define an intended state.
104.36	109.42	 What do we want the state of our infrastructure to look like with some of these automation
109.42	112.04	 tools that we'll be talking about today?
112.32	115.42	 And some of those automation tools are as follows.
115.48	117.08	 You have some that are SCI-based.
117.08	117.08	
117.08	117.08	
117.08	117.08	
117.08	118.62	 You have some that are SCM or source control management.
118.98	123.18	 Some of the more popular ones such as Git, GitHub, GitLab, BitBucket.
123.28	126.48	 There may be others that you're using in your own environment.
126.88	130.02	 And then you have some pipeline for CI CD as well.
130.24	134.32	 Some of the more popular ones are Jenkins, Drone, CircleCI, and others.
135.24	139.96	 And then you have the execution software, what you're actually going to write your infrastructure
139.96	141.02	 as code in.
141.22	146.94	 Now, as you can see, there's a ton of options for infrastructure as code tools, right?
146.94	152.14	 But two of the more popular ones that we're obviously going to be talking about today
152.7	157.4	 and two of the more popular ones that you'll probably see out there are Ansible and Terraform.
158.02	162.68	 And certainly they're the most popular with customers like yourselves that are looking
162.68	166.56	 at moving into automation for their ACI and multi-site environments.
167.9	172.02	 Now in an ideal environment, this is where the end goal, where we ultimately want to
172.02	172.92	 be, right?
173.94	175.92	 We usually want a user.
176.06	176.88	 It could be yourself.
176.94	183.28	 It could be engineers on your team to submit any code to some type of source control management
183.28	184.02	 environment.
184.18	189.08	 Now again, that could be Git, could be GitHub, any number of those.
189.28	193.84	 That would get actually pushed out to some CI CD tool, right?
196.08000000000004	202.82	 Would notice that there's been a change that's been pushed out to our source control management
202.82	204.24	 repository, right?
204.38	205.74	 It would pick that up.
205.86	206.86	 And it would actually.
206.86	212.06	 It would actually do some actions based on the infrastructure, based on that code that
212.06	212.68	 we've defined.
213.6	218.9	 And then an execution runner would actually trigger the automation tool that we want to
218.9	219.16	 use.
219.3	223.34	 So in this case, it would trigger something like Ansible, would trigger something like
223.34	223.78	 Terraform.
223.98	228.28	 It could even trigger something like Python and Go, but we're not covering that in those
228.28	233.3	 sessions because Ansible and Terraform are probably the most popular tools, especially
233.3	234.52	 with folks like yourselves.
234.78	236.82	 Who are more coming from a network background.
236.84	236.84	
236.84	237.9	 A networking background.
238.3	240.82	 But you don't really have programming experience.
241.28	246.26	 So really, how can you leverage these kinds of automation tools when you don't necessarily
246.26	248.54	 have programming experience itself?
249.22	255.3	 Now one of the most popular tools for infrastructure as code is Ansible, and Raf is actually going
255.3	256.34	 to cover Ansible.
258.84	259.52	 Cool.
259.72	265.88	 So what is Ansible?
266.14	266.24	 Ansible.
266.48	266.48	
