start	end	text
9.419999999999998	12.5	 Infrastructure of code is actually a rather simple principle.
13.26	14.82	 It's very straightforward in reality.
15.14	16.82	 It can be hard to implement at scale.
17.22	19.6	 We're going to walk you through how you do that in this session.
19.74	22.18	 But first, let us define what infrastructure code is.
22.76	25.96	 It's taking the reusable task that we all perform.
26.3	28.08	 With what we do at Cisco, we do it too.
28.08	30.56	 I build test labs for customers.
30.76	32.66	 That's a highly repeatable task.
33.2	35.44	 You all have your own highly repeatable task.
35.72	39.24	 And taking that and modeling it as code in some form or fashion.
39.56	47.64	 Now to do that, we start bringing in software aspects and principles and tools into our industry, into our world.
47.88	53.14	 Some of those are version control, so that's Git repositories or repositories in general.
53.44	54.44	 That's pipelines.
54.56	57.8	 Has anybody started hearing the word pipeline in our industry quite frequently?
57.8	59.7	 Yeah, it's become quite the popular buzzword.
59.96	62.48	 We'll define what that CICD means here in a second.
63.359999999999985	67.98	 And when we start doing all this in an automated fashion, it is really good practice, highly
67.98	68.5	 recommended.
68.74	70.2	 I have a test background.
70.36	71.18	 It's what I do for Cisco.
71.24	72.12	 I do lots of testing.
72.4	77.52	 It's to also include test automation, not only for your code, but also for the code
77.52	81.22	 that you are using to automatically take care of your infrastructure.
82.96	85.56	 Now we put this together just as a reference.
85.64	87.78	 A lot of people sometimes hear these words.
87.78	91.6	 These acronyms and terms, and they don't know how they all tie together or where they
91.6	92.28	 fit in the picture.
92.78	97.34	 So an SCM, that's your software code manager or management.
97.76	98.92	 How many of you have heard of GitHub?
100.5	101.46	 Okay, whole room.
101.56	102.4	 How many of you have heard of GitLab?
103.28	104.18	 Just about the same.
104.28	104.84	 All right, good deal.
104.94	108.78	 You'll actually see GitLab toward the end of our session, but these are where you create
108.78	111.28	 those repositories and have those version control systems.
111.9	116.52	 Now for when it comes to a pipeline, Jenkins is by far probably the most popular coming
116.52	117.66	 from the software dev world.
118.25999999999999	122.52	 You'll see GitLab CI in our session because we're using GitLab, so why not?
123.16	128.18	 GitHub Actions is rather new, but GitHub has its own more or less pipeline nowadays.
128.68	133.7	 And the last thing we wanted to define for you is a list of infrastructure code software
133.7	135.88	 tools or automation execution tools.
137.04	140.68	 It's a given we're talking about Ansible here in this session, but there are a number depending
