start	end	text
4.220000000000001	15.22	 All right, perfect. So, hello, everybody. Good morning. Good afternoon. Good evening. Wherever you're located. Welcome to today's very special joint compute champs and DCN ninjas super session.
15.36	25.14	 We're titling it all about Cisco's vision and strategy for AI and the data center. So thank you so much for joining. Yeah, let's jump right in.
25.14	39.26	 We have a very concise agenda for you today and really great speakers lined up. So we have Brian showed up our senior director for Cisco global partner sales. Jeremy Foster, our senior and general manager for Cisco compute.
39.78	49.76	 And Lucas credit your Cisco fellow for data center, networking engineering as well as some panelists from the team who will be helping with Q and a.
50.24	54.7	 Spencer menard solutions engineer, the Monica, technical marketing.
54.78	55.12	 Okay.
55.14	64.86	 Engineering technical leader and James Terry sales specialist from the compute sales go to market. So thank you so much everybody for jumping in and supporting in today's session.
66.7	70.82	 On to the agenda, so Brian will be kicking us off with an introduction.
71.08	83.72	 For the session, then Jeremy and Lucas will cover what is on the, you know, on the track today for compute and in a plus the latest announcements that were communicated during Cisco live us some weeks ago.
84.68	102.8	 Followed by Lindsay and myself will be talking about our call to action from partner go to market. And finally, in the end, we'll have time for Q and a. so as our presenters are speaking, please feel free to send any questions you might have through the chat any comments and we'll make sure to answer them at the end.
104.12	104.6	 And we'll make sure to answer them at the end.
104.8	113.7	 So, yeah, thank you so much. And Brian, yeah, thanks Maria. And hello everyone. Good morning. Uh, maybe. Uh, I'm not sure if I'm going to be able to answer all of them. But I'm going to be able to answer them. So, yeah, thank you so much. And Brian.
113.7	127.86	 Some good afternoons and some good evenings, uh, hope, uh, hope everyone's doing fantastic. So, uh, I'm super excited as Maria highlighted that, uh, actually, I think this is the 1st time we, we have the champions, uh, and the ninja communities.
128.42	133.18	 Uh, together on 1 call, so I just want to thank all of you for helping us.
133.48	143.16	 Uh, and and really, uh, driving the, the message and the strategy into all of our key customers that you're engaging with. And, uh, and I can't, uh.
145.44000000000003	149.36	 really imagine all of the things that you're doing out there.
149.5	154.6	 And so now with that, we've got a pretty important topic today.
154.66	159.32	 And AI is hitting all of you.
159.36	166.28	 It's hitting all of us in ways that I think are bringing a tremendous amount of opportunity
