start	end	text
2.88	6.54	 So, let's talk about automating ACI with Python and the corporate SDK.
6.78	11.8	 And if you haven't attended a previous webinar by me before or haven't been in one of these
11.8	12.84	 PIWs, my name is Marcel.
13.06	16.08	 I'm a software solutions engineer for EMEA Systems Engineering.
16.24	20.56	 That means that I have the opportunity to work with our large partners and with our
20.56	27.64	 large customers on anything related to programmability, focusing in the past few years mainly on automating
27.64	30.46	 and network side of things.
31.42	35.0	 But today, we're talking about ACI and the corporate SDK.
35.14	39.56	 And before diving right into the code, right before going into the technical bits and showing
39.56	43.5	 you how you can connect to the API and doing all of these things, and at the end, we'll
43.5	46.9	 also see a few interesting use cases that have been built using the API.
47.28	49.18	 Let's start with why, right?
49.22	53.92	 Let's start thinking about why we would want to automate something like our APIC, why we
53.92	56.74	 want to automate processes in that part.
56.74	63.12	 And like, if you do a survey on this and if you ask people like, hey, what, why do you want to do that?
63.24	63.38	 Right?
63.52	65.42	 Some of the things that come up is cost reduction.
65.7	67.72	 Of course, everyone has OPEX constraints.
67.86	75.08	 So we might want to be able to reduce the time it takes, reduce the cost associated with certain
75.08	77.08	 workflows, simplicity, right?
77.16	83.78	 Like it's a lot simpler to just kick off a script and kick off an automation than having to maybe configure a lot of
83.78	86.48	 things inside of the APIC.
86.48	86.72	 Right?
88.0	90.24	 So consistent configuration is also something, right?
90.34	98.3	 Like if you're just, you know, giving you a switching example, but if you just have someone SSH to a switch and do
98.3	104.5	 some things, configure some stuff, you will eventually get to a system where you might have an understanding,
104.64	109.14	 maybe in a SharePoint page or whatever, what your configuration is or what you believe your configuration is.
109.22	112.82	 And then you have the is state, which is quite often very disjunct, right?
112.84	116.72	 Like where people have drifted the configuration away from the actual configuration.
116.72	116.72	
116.74	119.12	 So you have to be able to get the information out of the configuration and then you have to figure out how to get it out of the configuration.
120.74	120.92	 So you have to be able to get the information out of the configuration.
120.92	121.16	 So you have to be able to get the information out of the configuration.
122.16	124.14	 Reducing time consuming repetitive tasks, right?
124.18	135.12	 This is the whole point of automation that we automate the boring stuff so that we can spend more time on the actually interesting stuff like infrastructure, like architecture, these kinds of things.
135.22	135.36	 Right?
135.42	138.32	 The stuff that's actually interesting and that actually propels forward.
138.42	138.56	 Right?
138.8	141.74	 Finally getting around to building that new service that you wanted to do.
142.38	143.22	 Scaling, right?
143.44	145.78	 If you have written a script once, you can do it again.
146.74	148.36	 And reduce maintenance window.
148.48	152.36	 So these are like the top reasons that usually get given for automation.
152.6	157.66	 And these reasons are, I didn't write data center automation on top there, right?
157.68	168.32	 These are fairly common that you will encounter them in pretty much every automation related stuff from IT automation to automating your factory, right?
168.54	171.1	 Everything is going to be for that reasons.
171.44	174.54	 Data centers in particular have one more reason.
174.68	175.84	 And that reason is.
179.98000000000002	181.68	 The cloud, right?
182.20000000000002	192.44	 We care about automation because we have 2 different personas roughly, and there's a few more, but we have different personas acting in our data center, right?
192.52	198.84	 We have the infrastructure engineers, the people that care about routing the people that care about the security, the people that care about.
199.58	204.56	 If we're talking about specifically, and these kinds of infrastructure related topics, right?
204.6	206.72	 Making sure that your infrastructure works and making sure that your infrastructure is working.
206.72	206.72	
206.72	206.72	
206.72	206.72	
206.72	206.72	
206.72	206.72	
206.72	206.72	
206.72	206.72	
206.72	206.72	
206.72	208.58	 That everything runs run smoothly.
209.48	212.06	 And then you have the people actually using your infrastructure, right?
212.72	215.5	 Could be software developers could be application teams.
216.78	218.02	 But you have people that.
218.8	220.92	 They, they are not that interested in the infrastructure.
221.16	223.28	 They just want to consume that infrastructure, right?
223.36	228.06	 And software engineers in particular, they will be talking or they will be caring about deployments, right?
228.14	230.06	 They will be talking about their time to market.
230.3	231.68	 They want to optimize that.
231.76	234.08	 They want to talk about quick access to resources, right?
234.14	236.0	 They don't want to go through an approval process.
236.08	236.46	 And wait.
236.46	238.08	 For a long, long time.
238.48	246.96	 In order to get some sort of new server for the lab environment set up, or to get some access rules changed so that they can run their run their software.
247.7	249.72	 So these, these, these two groups.
250.02	251.38	 Not only have different.
253.0	255.98	 Perceptions of what infrastructure is right for some of them.
256.04	261.0	 It is all the interesting technical topics and the it's like their day-to-day job.
261.08	262.58	 And for others, it's a resource, right?
262.7	264.82	 They also have different incentives, right?
264.88	265.78	 The infrastructure engineers.
