start	end	text
1.96	2.38	 .
7.640000000000001	9.92	 So first of all, thank you for being with me today.
10.32	11.98	 Indeed, the agenda, as I was saying,
12.06	14.18	 introduction for you,
14.28	16.88	 so you can understand a little bit better about this application.
17.36	20.94	 How to access the APIs, documentation, authentication,
21.58	22.8	 what are the methods, what are
22.8	25.36	 the applications that you can use to access these APIs, right?
25.8	28.76	 A little bit of talk on what are
28.76	30.54	 the most common use cases,
30.6	34.28	 the most important use cases as well to interact with APIs.
34.92	37.3	 And then, it's going to be time for the demo.
37.64	40.14	 At the end, I'm going just to close the session.
40.28	43.2	 I think 45 minutes are going to fly pretty fast,
43.36	45.22	 so I'll get there, be starting.
47.120000000000005	50.1	 Introduction. So what is Nexus Dashboard Insights?
50.28	52.12	 First of all, it's an application.
52.42	55.78	 It's an application that can run on top of our Nexus Dashboard Cluster.
55.98	57.72	 The Nexus Dashboard Cluster is
57.72	60.88	 a group of
60.88	63.4	 different Nexus Dashboard nodes, right, that you can install,
63.58	65.14	 you can bring them all together.
65.42	66.94	 They form a Kubernetes cluster,
67.24	69.92	 even though you don't need to know anything about Kubernetes.
70.12	72.26	 That is going to be totally transparent for you,
72.34	73.94	 you bring up this cluster,
74.1	76.66	 and then you can store additional applications on top of it.
76.82	77.94	 We have different applications.
78.3	80.78	 We have applications for orchestrating your networks,
80.92	82.54	 like NVO, which allows you to
82.54	85.72	 extend your fabrics into multi-site view, multi-site architecture.
85.72	88.12	 we have Nexus Dashboard Fabric Controller,
89.08	92.48	 which is the application we use to manage NXOS fabrics.
92.72	95.76	 By NXOS fabric, I mean Nexus fabrics without a CI,
95.96	98.0	 so running the plain NXOS software.
98.38	100.4	 We have as well Nexus Dashboard Insights,
100.48	104.06	 which is the tool we define as the day-to-operation tools.
104.56	106.84	 Day-to-operation tools, just to let you know
106.84	109.04	 what the focus is this application about,
109.66	112.36	 start when you have your fabric up and running,
112.46	114.52	 when you did the initial configuration, right?
114.52	116.1	 You started deploying applications,
116.38	118.28	 you started deploying services into your fabric.
118.46	121.02	 At that moment, it is extremely important
121.02	123.06	 that those applications, those services,
123.16	124.58	 never have failures.
124.9	127.24	 You want them to be always up and running.
127.46	130.6	 You don't want them to get into any black holes, right?
130.74	133.88	 Because those applications might be generating revenue
133.88	135.62	 for your company.
136.12	139.32	 And this is the moment where day-to-operation starts.
139.74	141.66	 You want to make sure that any changes you apply
141.66	143.44	 into your fabric are not going to break it.
143.56	144.42	 You want to make sure
144.42	145.82	 that you have everything under control.
146.02	147.68	 The status, the operational status,
147.9	150.0	 the resource utilization, these kind of things, right?
150.36	151.94	 NDI has a lot of tools,
152.04	153.76	 has a lot of utilities that you can use.
153.92	156.98	 I like to group them into three different categories.
157.48	159.44	 I start with the first one, assurance.
160.54	161.64	 Assurance helps you.
161.72	163.64	 So assurance, first of all, is a set of features,
163.72	165.9	 a set of tools that you can use on top of NDI,
166.06	168.9	 and they help you understand how your fabric is doing.
169.4	171.64	 Like I was saying before, resource utilization,
172.58	173.74	 pre-change validation,
174.42	176.96	 meaning that you can take a configuration file,
177.22	179.6	 upload it to NDI, and it will tell you,
179.64	181.52	 okay, this is going to create a problem or no.
181.62	183.96	 This is going to be working just fine.
185.20000000000002	186.98	 We have troubleshooting tools.
187.34	189.74	 You know troubleshooting, you can divide troubleshooting
189.74	190.94	 into two main categories.
191.68	194.06	 Reactive troubleshooting, proactive troubleshooting.
194.4	197.48	 I start with the proactive, which is the preferred one,
197.6	200.4	 because with proactive, we can read some signals
200.4	204.04	 from the fabric, we can correlate them, we can match them
204.04	204.4	 based on the data.
204.96	207.58	 We can also tell the operator that we have some problems
207.58	207.58	
207.58	208.96	 that we have some problems with the application.
209.02	210.64	 So we can notify the administrator,
210.92	212.3	 we can notify the operator and say,
212.4	214.8	 take a look at this, something is about to happen.
214.88	216.7	 You probably need to take some corrective action
216.7	218.7	 before your application suffers.
219.38000000000002	222.26	 Then, obviously, we have reactive troubleshooting.
222.5	223.94	 So the problem is already there.
224.14	226.1	 Maybe our applications are affected.
226.4	228.98	 We want to make sure that we find the problem,
229.14	231.7	 where it is, what problem we are talking about,
